legislature,session,vote_num,date,vote_type,title,deputy_name,group,vote
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FILINI FRANCESCO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FITTO RAFFAELE,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FONTANA ILARIA,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FORATTINI ANTONELLA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FORMENTINI PAOLO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FORNARO FEDERICO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FOSSI EMILIANO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FOTI TOMMASO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FRASSINETTI PAOLA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FRASSINI REBECCA,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FRATOIANNI NICOLA,M-AVS,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FRENI FEDERICO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FRIJIA MARIA GRAZIA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FURFARO MARCO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FURGIUELE DOMENICO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,GADDA MARIA CHIARA,AIV-RE,Contrario
